PLAYER,TEAM,PLAYER,TEAM,Minute,Partial Possessions (portion of team possessions while player was on court),% of Time Playing Defense,% of Time Playing Offense,% of Time Both Players Were On the Court Together,Player Points Scored,Team Points Scored,Assists,Turnovers,Blocks,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3-Point Shots Made,3-Point Shots Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Shooting Fouls Drawn (fouls committed against the player while shooting)
Sam Merrill,CLE,Jose Alvarado,NYK,00:33,2.7,36.6,5.8,36.6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Sam Merrill,CLE,OG Anunoby,NYK,00:18,2.1,2.8,3.2,13,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Sam Merrill,CLE,Mikal Bridges,NYK,00:59,4.8,7.2,10.4,18.1,0,5,0,0,0,0,1,0,0,1,0,0,0,0
Sam Merrill,CLE,Jalen Brunson,NYK,00:05,0.4,0.6,0.9,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Merrill,CLE,Josh Hart,NYK,01:09,5.2,8.7,12.3,15.8,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Sam Merrill,CLE,Miles McBride,NYK,04:05,16.3,66.8,43.4,66.8,6,23,1,0,0,2,3,66.7,2,2,100,0,0,0
Sam Merrill,CLE,Mitchell Robinson,NYK,00:11,0.9,4.7,1.9,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Merrill,CLE,Landry Shamet,NYK,01:49,12.2,17.3,19.2,22,0,16,0,0,0,0,0,0,0,0,0,0,0,0
Max Strus,CLE,OG Anunoby,NYK,01:19,7.6,12.4,11.4,20.1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
Max Strus,CLE,Mikal Bridges,NYK,01:07,7,8.2,9.7,13.2,0,6,1,0,1,0,2,0,0,1,0,0,0,0
Max Strus,CLE,Jalen Brunson,NYK,03:41,23.6,24.9,32,34.1,9,28,2,0,0,3,5,60,3,5,60,0,0,0
Max Strus,CLE,Josh Hart,NYK,02:03,9.3,15.3,17.8,26.9,4,16,1,0,0,1,4,25,1,4,25,1,1,0
Max Strus,CLE,Miles McBride,NYK,00:20,2.5,5.5,2.9,7.6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Max Strus,CLE,Mitchell Robinson,NYK,00:04,0.2,1.6,0.6,1.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Max Strus,CLE,Landry Shamet,NYK,02:26,10.5,23.3,21.2,29.1,0,13,1,0,0,0,2,0,0,1,0,0,0,0
Max Strus,CLE,Karl-Anthony Towns,NYK,00:09,0.7,1.2,1.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Schröder,CLE,Jose Alvarado,NYK,00:11,1.2,12.4,4.7,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Schröder,CLE,Jalen Brunson,NYK,02:36,10,17.6,65.6,82,3,9,0,0,0,1,1,100,1,1,100,0,0,0
Dennis Schröder,CLE,Josh Hart,NYK,00:09,0.5,1.1,3.6,3.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Schröder,CLE,Miles McBride,NYK,00:18,1.6,4.9,7.6,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Schröder,CLE,Mitchell Robinson,NYK,00:07,0.2,2.8,2.8,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Schröder,CLE,Landry Shamet,NYK,00:32,2.2,5.2,13.6,13.6,0,8,2,0,0,0,0,0,0,0,0,0,0,0
Dennis Schröder,CLE,Karl-Anthony Towns,NYK,00:02,0.2,0.3,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylon Tyson,CLE,Jose Alvarado,NYK,00:16,1.5,18.1,9.1,18.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Jaylon Tyson,CLE,OG Anunoby,NYK,00:16,2.3,2.6,9.2,35.4,0,5,0,0,0,0,1,0,0,1,0,0,0,0
Jaylon Tyson,CLE,Mikal Bridges,NYK,00:10,0.8,1.2,5.5,8.3,0,2,1,0,0,0,0,0,0,0,0,0,0,0
